"1.1 Zabezpečovací zařízení","",""
"","","Sloupek (vč. kotvení)"
"","","Výplňový panel"
"","","Ochrana proti dotyku"
"","Úpravy kolem podpěr",""
"","","Práh"
"","","Obrubník"
"","","Dlažba"
"","","Příkopový žlab"
"","","Schodiště"
"","Ostatní",""
"","","Ostatní"
"","","Letopočet"
"","Průjezdný profil",""
"","","Průjezdný profil"
"","Propustky",""
"","","Podkladní vrstva"
"","","Propust [trubní/rámový]"
"","","Čelo"
"","","Obetonování"
"2.1.e Ostatní inženýrské obj.","",""
"","Kabelová trasa",""
"","","Kabely"
"","","Výkop kabelové trasy"
"","","Balíza ETCS"
"2.1.f Potrubní vedení","",""
"","Zemní práce",""
"","","Výkop (hloubení rýh)"
"","","Zásyp"
"","","Sejmutí ornice"
"","","Rozprostření ornice (ohumusovani)"
"","","Podkladní a výplňové vrstvy"
"","","Úpravy svahů [dlažby z lom. kam., veget. dlažby]"
"","","Patky"
"","","Stupně a prahy"
"","","Geotextilie"
"","Záchytné systémy",""
"","","Zábradlí"
"","Trubní vedení",""
"","","Podsyp"
"","","Potrubí"
"","","Tlakové potrubí"
"","","Chránička"
"","","Jímky"
"","","Obsyp"
"","","Obetonování"
"","","Výstražná fólie"
"","","Signalizační vodič"
"","Objekty na trubním vedení",""
"","","Šachta"
"","","Spadiště"
"","","Uliční vpusť"
"","","Horská vpusť"
"","","Odlučovač"
"","","Šachta armaturní"
"","","Armatura"
"","","Čichačka"
"","","Šoupě/ventil"
"2.1g Tunely","",""
"","Hlavní tunelová osa",""
"","","Osa"
"","","Niveleta"
"","Dílčí tunelová osa",""
"","","Osa"
"","","Niveleta"
"","Speciální zakládání",""
"","","Pilota"
"","","Mikropilota"
"","","Zápora"
"","","Pažina"
"","","Převázka"
"","","Štětovnice"
"","","Lamela podzemní stěny"
"","","Sloup tryskové injektáže"
"","","Stříkaný beton"
"","","Kotva lanová"
"","","Kotva tyčová"
"","","Hřebík"
"","","Svorník"
"","","Jehla"
"","","Vrt obecný (průzkumný)"
"","","Vrt odvodňovací"
"","","Vrt injektážní"
"","","Stěrkopískový polštář"
"","","Podkladní beton"
"","","Gabion"
"","","Geosyntetická výztuha"
"","Primární ostění",""
"","","Výrub kaloty"
"","","Výrub jádra"
"","","Výrub dna"
"","","Výrub výklenku"
"","","Výrub plnoprofilový"
"","","Ocel. příhradový oblouk"
"","","Ocel. válcovaný profil"
"","","Důlní ocelová výztuž "K""
"","","Stříkaný beton kaloty"
"","","Stříkaný beton jádra"
"","","Stříkaný beton dna"
"","","Stříkaný beton výklenku"
"","","Stříkaný beton celek"
"","Odvodnění",""
"","","Drenážní potrubí"
"","","Revizní šachta"
"","","Kanalizační potrubí"
"","Hydroizolace",""
"","","Hydroizolační systémy"
"","Definitivní ostění",""
"","","Patka"
"","","Dno"
"","","Horní klenba"
"","","Výklenek"
"","","Definitivní ostění celek"
"","Požární potrubí",""
"","","Požární potrubí"
"","","Požární hydrant"
"","Kabelovod",""
"","","Kabelová chránička"
"","","Multikanál"
"","","Kabelová šachta"
"","","Kabelový kanál"
"","Chodník",""
"","","Těleso chodníku"
"","","Zábradelní madlo"
"","Ostatní konstrukce",""
"","","Dělící příčka"
"","","Požární dveře"
"","","Betonová podlaha"
"","Průjezdný profil",""
"","","Průjezdný profil"
"2.1.h Pozemní komunikace","",""
"2.1.i Kabelovody, kolektory","",""
"","Kabelovod",""
"","","Šachta"
"","","Poklop"
"","","Izolace"
"","","Výstroj"
"","","Propojky"
"2.1.j Protihlukové objekty","",""
"","Proihluková stěna",""
"","","Sloupek"
"","","Základ"
"","","Soklové panely"
"","","Výplňové panely"
"","Protihlukový val",""
"","","Zemní těleso"
"2.2.a Pozemní objekty budov","",""
"2.2.b Zastřešení nástupišť","",""
"","Konstrukce přístřešku",""
"","","Ocelová konstrukce"
"","","Monolitická konstrukce"
"","","Prefabrikát"
"","","Základ"
"","Prvky zastřešení",""
"","","Krytina"
"","","Podhled"
"","","Zasklení"
"","","Odvodnění"
"","Osvětlení",""
"","","Svítidla"
"","","Kabeláž"
"2.2.c IPO","",""
"","Výměna oken",""
"","","Rám"
"","","Zasklení"
"","Přetěsnění oken",""
"","","Těsnění"
"2.2.d Orientační systém","",""
"","Orientační systém",""
"","","Tabule"
"","","Sloupek"
"","","Základ"
"2.2.e Demolice","",""
"","Demolovaný objekt",""
"","","Materiál demolice"
"2.2.f Drobná arch., oplocení","",""
"","Drobná architektura",""
"","","Lavička"
"","","Koš"
"","","Ostatní"
"","Reklamní stojan",""
"","","Stojan"
"","","Základ"
"","Oplocení",""
"","","Sloupek"
"","","Základ"
"","","Pletivo/výplň"
"2.3.a Trakční vedení","",""
"","Trolejové vedení",""
"","","Trolejový drát"
"","","Nosné lano"
"","Podpěra",""
"","","Stožáry nebo nosné brány"
"","","Základ podpěry"
"2.3.b Napájecí stanice","",""
"2.3.c Spínací stanice","",""
"2.3.d EOV","",""
"","EOV",""
"","","Rozváděč EOV"
"","","Souprava EOV"
"","Kabelová trasa",""
"","","Kabely"
"","","Výkop kabelové trasy"
"","","Balíza ETCS"
"2.3.e EPZ","",""
"","EPZ",""
"","","Stojan EPZ"
"","Kabelová trasa",""
"","","Kabely"
"","","Výkop kabelové trasy"
"","","Balíza ETCS"
"2.3.f Osvětlení","",""
"","Osvětlovací věž",""
"","","Stožár"
"","","Základ"
"","","Svítidlo"
"","","Samostatné osvětlovací těleso"
"","","Rozváděč osvětlení"
"","","Zásuvková skříň"
"","Kabelová trasa",""
"","","Kabely"
"","","Výkop kabelové trasy"
"","","Balíza ETCS"
"2.3.g Ukolejnění kovových kcí.","",""
"","Ukolejnění",""
"","","Ukolejnění"
"2.3.h Vnější uzemnění","",""
"","Vnější uzemnění",""
"","","Zemnící jímka"
"","","Zemnič"
